Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Sex,Species
47.3,15.3,222.0,5250.0,,,0,2
44.9,13.8,212.0,4750.0,8.11238,-26.20372,1,2
50.3,20.0,197.0,3300.0,10.02019,-24.54704,0,1
46.2,14.9,221.0,5300.0,8.60092,-26.84374,0,2
43.2,19.0,197.0,4775.0,9.31735,-25.45171,0,0
35.0,17.9,190.0,3450.0,8.19539,-26.17213,1,0
39.6,17.7,186.0,3500.0,8.46616,-26.12989,1,0
46.6,14.2,210.0,4850.0,8.38289,-26.86352,1,2
40.9,13.7,214.0,4650.0,8.19579,-25.3933,1,2
42.9,17.6,196.0,4700.0,8.63259,-26.23027,0,0
44.9,13.3,213.0,5100.0,8.45167,-26.89644,1,2
42.8,18.5,195.0,4250.0,8.2993,-26.38986,0,0
35.7,18.0,202.0,3550.0,8.46531,-26.05621,1,0
42.6,13.7,213.0,4950.0,7.96935,-26.70968,1,2
50.0,15.3,220.0,5550.0,8.30515,-25.19017,0,2
34.5,18.1,187.0,2900.0,8.41837,-26.54718,1,0
41.7,14.7,210.0,4700.0,8.12311,-26.44815,1,2
38.9,18.8,190.0,3600.0,8.36936,-26.11199,1,0
43.5,15.2,213.0,4650.0,8.21634,-26.11046,1,2
38.8,20.0,190.0,3950.0,9.18985,-25.12255,0,0
44.4,17.3,219.0,5250.0,8.13746,-26.79093,0,2
37.7,18.7,180.0,3600.0,8.66271,-25.0639,0,0
49.9,16.1,213.0,5400.0,8.3639,-26.15531,0,2
45.6,19.4,194.0,3525.0,9.46985,-24.65786,1,1
51.0,18.8,203.0,4100.0,9.23196,-24.17282,0,1
36.7,18.8,187.0,3800.0,7.88494,-26.24837,1,0
36.4,17.0,195.0,3325.0,9.17847,-25.23061,1,0
35.7,16.9,185.0,3150.0,8.96472,-26.40943,1,0
37.3,17.8,191.0,3350.0,8.32718,-26.38396,1,0
39.1,18.7,181.0,3750.0,,,0,0
49.7,18.6,195.0,3600.0,9.75486,-24.31198,0,1
36.6,17.8,185.0,3700.0,,,1,0
49.8,15.9,229.0,5950.0,8.29226,-26.21019,0,2
35.6,17.5,191.0,3175.0,8.75984,-25.97696,1,0
47.8,15.0,215.0,5650.0,7.92358,-25.48383,0,2
39.0,17.5,186.0,3550.0,8.57199,-26.07188,1,0
46.4,15.0,216.0,4700.0,8.47938,-26.9547,1,2
32.1,15.5,188.0,3050.0,8.79787,-26.61075,1,0
47.5,15.0,218.0,4950.0,8.29671,-26.08547,1,2
49.2,15.2,221.0,6300.0,8.27376,-25.00169,0,2
42.5,17.3,187.0,3350.0,9.56534,-24.60882,1,1
39.2,18.6,190.0,4250.0,9.11006,-25.79549,0,0
43.5,18.1,202.0,3400.0,9.37608,-24.40753,1,1
52.1,17.0,230.0,5550.0,8.27595,-26.11657,0,2
51.3,19.2,193.0,3650.0,9.29078,-24.7557,0,1
45.0,15.4,220.0,5050.0,8.63488,-26.75621,0,2
37.9,18.6,172.0,3150.0,8.38404,-25.19837,1,0
45.3,13.7,210.0,4300.0,8.37615,-26.72791,1,2
46.1,15.1,215.0,5100.0,7.83733,-25.42826,0,2
49.6,15.0,216.0,4750.0,8.26548,-26.7699,0,2
35.3,18.9,187.0,3800.0,9.21292,-24.3613,1,0
36.2,16.1,187.0,3550.0,7.82381,-26.51382,1,0
48.1,16.4,199.0,3325.0,9.46929,-24.48403,1,1
54.2,20.8,201.0,4300.0,9.49283,-24.59996,0,1
50.2,14.3,218.0,5700.0,7.8962,-25.37746,0,2
37.0,16.5,185.0,3400.0,8.61651,-26.07021,1,0
50.1,15.0,225.0,5000.0,8.50153,-26.61414,0,2
51.3,18.2,197.0,3750.0,8.63701,-24.84059,0,1
37.7,19.8,198.0,3500.0,9.11066,-26.42563,0,0
42.2,19.5,197.0,4275.0,8.80186,-26.41218,0,0
38.6,17.2,199.0,3750.0,8.77322,-26.48973,1,0
50.5,19.6,201.0,4050.0,9.8059,-24.7294,0,1
43.3,13.4,209.0,4400.0,8.13643,-25.32176,1,2
48.6,16.0,230.0,5800.0,8.5964,-26.71199,0,2
38.7,19.0,195.0,3450.0,9.18528,-25.06691,1,0
45.1,14.4,210.0,4400.0,8.51951,-27.01854,1,2
50.8,19.0,210.0,4100.0,9.98044,-24.68741,0,1
37.8,17.1,186.0,3300.0,8.63243,-25.21315,-1,0
35.9,19.2,189.0,3800.0,9.22286,-25.03474,1,0
52.5,15.6,221.0,5450.0,8.28601,-26.27573,0,2
51.9,19.5,206.0,3950.0,,-23.78767,0,1
45.1,14.5,207.0,5050.0,7.97408,-25.53768,1,2
36.5,16.6,181.0,2850.0,9.07878,-25.88156,1,0
37.9,18.6,193.0,2925.0,9.02642,-25.86482,1,0
47.5,14.0,212.0,4875.0,8.12691,-26.23613,1,2
